wavelength[nm],transmittance
898.601,0.003692876
898.915,0.003701335
899.23,0.003585027
899.544,0.003598229
899.859,0.003552209
900.173,0.003538755
900.488,0.003585979
900.802,0.003587771
901.116,0.003499769
901.43,0.003603949
901.744,0.003564456
902.059,0.003577546
902.373,0.003622509
902.687,0.00365265
903.001,0.003599357
903.314,0.003628975
903.628,0.003594454
903.942,0.003492788
904.256,0.003663997
904.569,0.00354177
904.883,0.003733864
905.197,0.003779777
905.51,0.003603357
905.824,0.00365898
906.137,0.00363641
906.45,0.003640184
906.764,0.003694228
907.077,0.003525683
907.39,0.003731863
907.703,0.003665664
908.016,0.003724925
908.329,0.003637965
908.642,0.003649129
908.955,0.003751887
909.268,0.003631792
909.581,0.00357739
909.894,0.003611465
910.207,0.003712217
910.519,0.003707915
910.832,0.00367359
911.145,0.003772755
911.457,0.00366864
911.77,0.003824868
912.082,0.003637822
912.394,0.003764621
912.707,0.003718775
913.019,0.003712153
913.331,0.00374413
913.643,0.003729133
913.955,0.003620855
914.267,0.003880898
914.579,0.003596907
914.891,0.003748263
915.203,0.003747911
915.515,0.003645464
915.827,0.003831805
916.139,0.003632345
916.45,0.003672765
916.762,0.003651029
917.073,0.00375847
917.385,0.003824306
917.696,0.003820583
918.008,0.003840899
918.319,0.003700986
918.631,0.003758362
918.942,0.003665083
919.253,0.00390679
919.564,0.003761334
919.875,0.003699662
920.186,0.00375033
920.497,0.003717543
920.808,0.003924908
921.119,0.003707719
921.43,0.003616807
921.741,0.003810865
922.051,0.003614834
922.362,0.003762282
922.673,0.00379081
922.983,0.003722072
923.294,0.003744163
923.604,0.003753028
923.915,0.003748704
924.225,0.003722595
924.535,0.003818632
924.846,0.003802839
925.156,0.003797172
925.466,0.003581307
925.776,0.003662977
926.086,0.003790985
926.396,0.003889783
926.706,0.003818592
927.016,0.00361556
927.326,0.003802003
927.636,0.003755615
927.945,0.003687045
928.255,0.003759836
928.565,0.003810033
928.874,0.003799117
929.184,0.003829961
929.493,0.003890492
929.803,0.003892501
930.112,0.003888772
930.421,0.003869278
930.731,0.003864455
931.04,0.00369293
931.349,0.003739641
931.658,0.0036679
931.967,0.003877112
932.276,0.003858962
932.585,0.003860299
932.894,0.003739159
933.203,0.003663309
933.512,0.003836437
933.82,0.003929475
934.129,0.003691875
934.438,0.00376683
934.746,0.00380624
935.055,0.003765537
935.363,0.004001037
935.672,0.00381612
935.98,0.003660021
936.288,0.003897265
936.597,0.003816877
936.905,0.00370036
937.213,0.003824422
937.521,0.003664306
937.829,0.003797798
938.137,0.003736181
938.445,0.003733725
938.753,0.003811975
939.061,0.003898719
939.369,0.00400811
939.676,0.00379669
939.984,0.003887639
940.292,0.00366267
940.599,0.003753991
940.907,0.003717966
941.214,0.003821404
941.522,0.003840781
941.829,0.003737705
942.136,0.00357461
942.444,0.003750139
942.751,0.003860432
943.058,0.003891583
943.365,0.003869492
943.672,0.003693127
943.979,0.003849693
944.286,0.003859678
944.593,0.00383221
944.9,0.003794011
945.207,0.00381364
945.513,0.003801136
945.82,0.003928983
946.127,0.003981929
946.433,0.003801601
946.74,0.003994846
947.046,0.003929481
947.353,0.003585322
947.659,0.003874229
947.966,0.003711156
948.272,0.003784662
948.578,0.003882484
948.884,0.003822771
949.19,0.003824512
949.496,0.003809046
949.802,0.003865819
950.108,0.003717835
950.414,0.003801272
950.72,0.003858767
951.026,0.003699523
951.332,0.003984348
951.637,0.003646494
951.943,0.00382275
952.248,0.003688558
952.554,0.004019153
952.859,0.003792456
953.165,0.003786508
953.47,0.00372965
953.776,0.00368678
954.081,0.003792286
954.386,-0.002410622
954.691,0.003615365
954.996,0.004025004
955.301,0.003827903
955.606,0.003770037
955.911,0.003952117
956.216,0.004063524
956.521,0.003911913
956.826,0.003937278
957.131,0.003912887
957.435,0.003771468
957.74,0.004059116
958.045,0.003931742
958.349,0.003737904
958.654,0.003840269
958.958,0.003927794
959.262,0.003626463
959.567,0.003888686
959.871,0.003842246
960.175,0.003910155
960.479,0.004153445
960.783,0.003932196
961.088,0.003910489
961.392,0.004045614
961.695,0.003742992
961.999,0.003969772
962.303,0.003792575
962.607,0.003740284
962.911,0.004006047
963.214,0.003924353
963.518,0.003880662
963.822,0.003745877
964.125,0.0041212
964.429,0.003929193
964.732,0.003758516
965.036,0.003964272
965.339,0.003920382
965.642,0.003967021
965.945,0.003755921
966.249,0.003891428
966.552,0.003842159
966.855,0.004216476
967.158,0.00375017
967.461,0.003674008
967.764,0.004064489
968.066,0.004133644
968.369,0.003766671
968.672,0.003827784
968.975,0.003794962
969.277,0.004043571
969.58,0.003725234
969.882,0.003793534
970.185,0.004103196
970.487,0.004241545
970.79,0.004160758
971.092,0.003888291
971.394,0.003843762
971.697,0.003942362
971.999,0.003844702
972.301,0.004125417
972.603,0.003914651
972.905,0.003837493
973.207,0.003952211
973.509,0.003843834
973.811,0.003686233
974.112,0.004057751
974.414,0.004200368
974.716,0.00402021
975.017,0.003856669
975.319,0.004114926
975.621,0.004042622
975.922,0.003927145
976.224,0.004177107
976.525,0.003887738
976.826,0.003896257
977.127,0.003962149
977.429,0.003865481
977.73,0.004153009
978.031,0.003751759
978.332,0.004018915
978.633,0.004058197
978.934,0.004010782
979.235,0.00410486
979.536,0.003858798
979.837,0.004073275
980.137,0.004035412
980.438,0.003862884
980.739,0.004154673
981.039,0.004042153
981.34,0.004190793
981.64,0.003734743
981.941,0.004028698
982.241,0.003868165
982.541,0.004117946
982.842,0.003941195
983.142,0.003842606
